person_id,name,stratum,date,queries,corpora_searched,result,hits
allin_richard,Richard Allin,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
vaughan_alanson_b,Alanson B. Vaughan,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",candidate_identity,mower_history_alanson_vaughan;chicago_democrat_1833_1835
beaubien_madore,Madore Benjamin Beaubien,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,chicago_voter_lists_1833_1835_irad;st_marys_baptismal_register_1833_1835;andreas_1884_v1;chicago_democrat_1833_1835
alling_prudde,Prudde Alling,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
wilkes_alexander,Alexander Wilkes,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
beaubien_mark,Mark Beaubien,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,census_1830_peoria_county_chicago_precinct;st_marys_baptismal_register_1833_1835;chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
anderson_eli_f,Eli F Anderson,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
tucker_alexr_h,Alexr. H. Tucker,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
beckford_printer,Beckford,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,andreas_1884_v1;chicago_democrat_1833_1835
anstin_al,Mr. Al. Anstin,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
churchill_alfred,Alfred Churchill,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
blodgett_tyler_k,Tyler K. Blodgett,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
archer_joseph,Joseph Archer,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
vaughn_alison_b,Alison B. Vaughn,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
brown_lemuel,Lemuel Brown,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
avery_charles,Charles Avery,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",candidate_identity,fergus_chicago_directory_1839;andreas_1884_v1;chicago_democrat_1833_1835
perring_almon,Almon Perring,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
brown_mrs_rufus,Mrs Rufus Brown,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,andreas_1884_v1;chicago_democrat_1833_1835
ayres_levi,Levi Ayres,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
castle_alonzo,Alonzo Castle,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
brown_rufus,Rufus Brown,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,andreas_1884_v1;st_cyr_register_ichr_v4;chicago_democrat_1833_1835
bailly_joseph,Joseph Bailly,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",candidate_identity,fergus_chicago_directory_1843;andreas_1884_v1;chicago_democrat_1833_1835
murray_alonzo,Alonzo Murray,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
caldwell_billy,Billy Caldwell (Sauganash),established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,census_1830_peoria_county_chicago_precinct;andreas_1884_v1;chicago_democrat_1833_1835
bakwith_albert,Albert Bakwith,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
murry_alonzo,Alonzo Murry,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
calhoun_john,John Calhoun,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;fergus_chicago_directory_1843;chicago_democrat_1833_1835
bebee_orson,Orson Bebee,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
crandal_alva,Alva Crandal,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
carpenter_philo,Philo Carpenter,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;census_1840_chicago_name_crosswalk;chicago_democrat_1833_1835
beddlecome_ash,Ash Beddlecome,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
dunlap_alva,Alva Dunlap,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",candidate_identity,second_presbyterian_chicago_1892;andreas_1884_v1;chicago_democrat_1833_1835
carver_david,David Carver,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
beeson_william,William Beeson,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
miner_amanda,Amanda Miner,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
casey_edward_w,Edward W. Casey,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
beger_tobias,Tobias Beger,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
rathburn_amos,Amos Rathburn,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
caton_john_dean,John Dean Caton,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
bemis_samuel_c,Samuel C Bemis,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
wear_amy_c,Amy C. Wear,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
church_thomas,Thomas Church,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,fergus_chicago_directory_1839;fergus_chicago_directory_1843;census_1840_chicago_name_crosswalk;chicago_democrat_1833_1835
benton_datas_e,Datas E Benton,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
miles_andrew,Andrew Miles,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
clybourne_archibald,Archibald Clybourne,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
benubien_charl,Charl Benubien,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
vann_angeline,Angeline Vann,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
cobb_silas_b,Silas B. Cobb,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,andreas_1884_v1;fergus_chicago_directory_1839;second_presbyterian_chicago_1892;chicago_democrat_1833_1835
