building_id,research_record_id,canonical_name,year_started,year_completed,completion_precision,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,fire_fate_1871,notes,confidence,needs_review
CHI-PRE1830-007,PRE1830-007,Du Sable homestead workshop,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,workshop,craft_and_repair,Jean Baptiste Point du Sable and household,,wood,,not_present,Explicitly listed in the NPS nomination; individual dates and footprint are not preserved.,medium,true
CHI-PRE1830-011,PRE1830-011,Unidentified tenth Du Sable compound building,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,outbuilding,unknown,Jean Baptiste Point du Sable and household,,wood,,not_present,The NPS nomination says the property consisted of ten buildings but enumerates only nine including the main house. This transparent count-balancing component has unknown function and fate; no stable is asserted.,low,true
CHI-PRE1830-012,PRE1830-012,Antoine Ouilmette cabin,,1803,before_or_by,,,,fate_unknown,North side of Chicago River near the lake,River North near river mouth,,,cabin,residence,Antoine Ouilmette,,log,1,not_present,Andreas identifies Ouilmette as one of four cabin/trading-hut occupants present when Fort Dearborn was established and says the house survived the 1812 attack. Construction year is not established.,medium,true
CHI-PRE1830-013,PRE1830-013,Guillaume Pettell cabin,,1803,before_or_by,,,,fate_unknown,Chicago River settlement; exact bank unresolved,Chicago River near river mouth,,,cabin,residence_and_trade,Guillaume Pettell,,log,1,not_present,"Identified by Andreas among the four cabins or traders' huts present in 1803. Exact site, construction date, and fate are unresolved.",medium,true
CHI-PRE1830-015,PRE1830-015,Fort Dearborn I,1803,1804,year_range,1812,exact,burned_after_battle,destroyed,South bank of Chicago River at river mouth,Michigan Avenue and Wacker Drive vicinity,41.8885,-87.6242,fort_complex,military_post,United States Army; plan attributed to John Whistler,United States government,"wood stockade, blockhouses, barracks, and service buildings",,not_present,Modeled as a complex because surviving sources do not support complete component-level identification. Built 1803-04 and destroyed in 1812.,high,false
CHI-PRE1830-017,PRE1830-017,Lee house near Fort Dearborn,1804,1804,before_or_by,,,,fate_unknown,Near Fort Dearborn,Michigan Avenue and Wacker Drive vicinity,,,house,residence,,Lee family,log,1,not_present,"This house existed by 1804, was sold to Jean Baptiste Beaubien, and later served as a barn. Andreas does not establish its physical loss date.",medium,true
CHI-PRE1830-016,PRE1830-016,United States Factory I,1805,1805,exact,1812,exact,burned_after_battle,destroyed,At or adjacent to first Fort Dearborn,Michigan Avenue and Wacker Drive vicinity,41.8885,-87.6242,trading_house,federal_indian_trade,United States government,United States Factory System,wood,,not_present,Andreas explicitly dates establishment of the federal factory to 1805. It closed/destroyed in the 1812 episode and is distinct from the rebuilt factory.,high,false
CHI-PRE1830-019,PRE1830-019,Burns house,,1812,before_or_by,,,,fate_unknown,Chicago River settlement; exact site unresolved,Chicago River near river mouth,,,house,residence,Burns_family,Burns_family,log,1,not_present,Among five non-fort houses listed by Andreas for 1812; occupied by Charles Jouett in 1817. Exact site and later fate are unresolved.,medium,true
CHI-PRE1830-018,PRE1830-018,Lee farm cabin,,1812,before_or_by,,,,fate_unknown,Lee farm at Hardscrabble on South Branch,South Branch near present Bridgeport,,,cabin,farm_residence_and_later_trade,Lee_family,Lee_family,log,1,not_present,One of five houses Andreas says existed outside the fort in 1812; later used by John Crafts as a trading house. Exact construction and loss dates are unknown.,medium,true
CHI-PRE1830-024,PRE1830-024,Wolcott government agency house,,1812,before_or_by,,,,fate_unknown,"Near Fort Dearborn, between the agency and Kinzie sites as described",Fort Dearborn vicinity,41.8898,-87.6248,house,residence,,United States government; Alexander Wolcott,double log house,1,not_present,Andreas's footnote identifies Wolcott's government agency house and says Kinzie probably lived there while his own house deteriorated. It is not a duplicate Du Sable/Kinzie house; exact construction and loss dates are unknown.,low,true
CHI-PRE1830-022,PRE1830-022,Dean house,1815,1815,exact,,,,fate_unknown,Near foot of Randolph Street,Randolph Street at Chicago River vicinity,,,house,residence_and_contracting,Dean,Dean,log,1,not_present,Andreas says an army contractor named Dean built the house in 1815 and Jean Baptiste Beaubien bought it in 1817. Final fate is unresolved.,medium,true
CHI-PRE1830-035,PRE1830-035,Bridges house,,1816,before_or_by,,,,fate_unknown,Between the agency house and Kinzie house,Fort Dearborn vicinity,,,house,residence,,Mr. Bridges,log or wood,,not_present_or_unresolved,"Andreas identifies a house occupied by Mr. Bridges in 1816. Personal identity, construction date, and final fate require scan and directory review.",low,true
CHI-PRE1830-020,PRE1830-020,Fort Dearborn II,1816,1816,exact,1857,approximate,decommissioned_and_demolished,demolished,South bank of Chicago River at river mouth,Michigan Avenue and Wacker Drive vicinity,41.8885,-87.6242,fort_complex,military_post,United States Army,United States government,"wood stockade, blockhouses, barracks, and service buildings",,not_present,"Rebuilt in 1816. Sources differ between 1856 and 1857 for final demolition, so year precision remains approximate.",high,true
CHI-PRE1830-021,PRE1830-021,United States Factory II,1816,1816,exact,,,,altered_repurposed,Outside south wall of Fort Dearborn II,Michigan Avenue and Wacker Drive vicinity,41.8885,-87.6242,trading_house,federal_indian_trade,United States government,United States Factory System,wood,,not_present,"The rebuilt federal factory closed in 1822, was sold in 1823, and passed through Whiting/American Fur Company/Beaubien ownership. Andreas indicates residential reuse to 1839; 1823 is not demolition.",high,false
CHI-PRE1830-023,PRE1830-023,American Fur Company trading house,1818,1818,exact,,,,fate_unknown,Chicago River settlement; exact site unresolved,Near Fort Dearborn,,,trading_house,fur_trade,,American Fur Company; Jean Baptiste Beaubien,wood,1,not_present,Andreas explicitly dates a small American Fur Company trading house built by Beaubien to 1818. Do not confuse it with the federal factory building later acquired by the company.,high,true
CHI-PRE1830-025,PRE1830-025,Beaubien cabin,,1826,before_or_by,,,,entity_reconciliation_needed,Near river mouth,Chicago River mouth vicinity,,,cabin,residence,,Jean_Baptiste_Beaubien,log,1,not_present,"The 1826 recollection proves a Beaubien cabin existed. It may be the former Factory II, Dean, or Lee house; keep unresolved until entity reconciliation.",low,true
CHI-PRE1830-034,PRE1830-034,Beaubien shanty warehouse,,1826,before_or_by,,,,fate_unknown,Near river mouth,Chicago River mouth vicinity,,,warehouse,storage,,Jean Baptiste Beaubien,wood shanty,,not_present_or_unresolved,"The 1826 recollection separately identifies a cabin and a shanty warehouse; this is the warehouse component. Exact site, construction, and fate remain unresolved.",medium,true
CHI-PRE1830-030,PRE1830-030,Bernadus H. Laughton Hardscrabble cabin,,1826,before_or_by,,,,fate_unknown,Hardscrabble on South Branch,South Branch near present Bridgeport,,,cabin,residence,Bernadus H. Laughton,Bernadus H. Laughton,log,1,not_present,"Named in Andreas's 1826 Hardscrabble inventory; exact construction date, footprint, and fate are unknown.",medium,true
CHI-PRE1830-031,PRE1830-031,Chief Robinson-Galloway Hardscrabble cabin,,1826,before_or_by,,,,fate_unknown,Hardscrabble on South Branch,South Branch near present Bridgeport,,,cabin,residence,Alexander Robinson; Galloway family,Alexander Robinson,log,1,not_present,Andreas describes the Galloway family occupying a Chief Robinson cabin in the 1826 inventory. Exact date and location are unresolved.,medium,true
CHI-PRE1830-037,PRE1830-037,Clybourne North Branch cabin 1,,1826,before_or_by,,,,fate_unknown,North Branch settlement,North Branch; exact site unresolved,,,cabin,residence,,Archibald Clybourne family,log,,not_present_or_unresolved,One of two Clybourne cabins explicitly reported on the North Branch in Andreas's 1826 recollection.,medium,true
CHI-PRE1830-038,PRE1830-038,Clybourne North Branch cabin 2,,1826,before_or_by,,,,fate_unknown,North Branch settlement,North Branch; exact site unresolved,,,cabin,residence,,Archibald Clybourne family,log,,not_present_or_unresolved,Second of two Clybourne cabins explicitly reported on the North Branch in Andreas's 1826 recollection.,medium,true
CHI-PRE1830-027,PRE1830-027,James Kinzie-David Hall store cabin,,1826,before_or_by,,,,fate_unknown,South side of the river at the forks,Chicago River forks vicinity,,,store,retail_and_trade,James Kinzie; David Hall,James Kinzie; David Hall,log,1,not_present,Andreas's 1826 inventory identifies a store cabin at the forks. Exact parcel and fate are unresolved.,medium,true
CHI-PRE1830-036,PRE1830-036,Joseph Porthier residence,,1826,before_or_by,,,,fate_unknown,North of the Chicago River,Near North Side; exact site unresolved,,,house,residence,,Joseph Porthier,log,,not_present_or_unresolved,Andreas separately identifies Porthier's residence north of the river in the 1826 recollection; it is distinct from the McKee-Porthier blacksmith shop.,medium,true
CHI-PRE1830-028,PRE1830-028,Laframboise-occupied Hardscrabble cabin group,,1826,before_or_by,,,,fate_unknown,Hardscrabble on South Branch,South Branch near present Bridgeport,,,cabin_group,residence,Laframboise_family,Laframboise_family,log,1,not_present,"Andreas says Hardscrabble had five or six cabins and several Laframboise occupants, of whom there were four. Four describes people, not four cabins; internal structure count remains unknown.",medium,true
CHI-PRE1830-026,PRE1830-026,McKee-Porthier blacksmith shop,,1826,before_or_by,,,,fate_unknown,Chicago River settlement; exact site unresolved,Chicago River near river mouth,,,blacksmith_shop,metalworking,David McKee; Joseph Porthier,David McKee; Joseph Porthier,log_or_frame,1,not_present,Identified as a blacksmith shop in Andreas's retrospective 1826 inventory; construction and loss dates are not stated.,medium,true
CHI-PRE1830-039,PRE1830-039,Unidentified Hardscrabble cabin,,1826,before_or_by,,,,fate_unknown,Hardscrabble on South Branch,South Branch near present Bridgeport,,,cabin,residence,,,log,,not_present_or_unresolved,Count-balancing candidate within Andreas's five-or-six Hardscrabble cabins. Identity is unknown and must not be assigned to a named occupant without further evidence.,low,true
CHI-PRE1830-029,PRE1830-029,Wallace Hardscrabble cabin,,1826,before_or_by,,,,fate_unknown,Hardscrabble on South Branch,South Branch near present Bridgeport,,,cabin,residence,Wallace,Wallace,log,1,not_present,"Named in Andreas's 1826 Hardscrabble inventory; exact construction date, footprint, and fate are unknown.",medium,true
CHI-PRE1830-032,PRE1830-032,Miller House,,1827,before_or_by,,,,fate_unknown,"Wolf Point, west bank near river forks",Wolf Point vicinity,,,tavern_and_store,lodging_retail_and_trade,Samuel Miller; Archibald Clybourne,Samuel Miller; Archibald Clybourne,log_or_frame,1,not_present,Andreas says the Miller House was built as early as 1827; record as present by 1827 rather than an exact completion. It functioned as a Wolf Point store and tavern.,high,true
CHI-PRE1830-040,PRE1830-040,Billy Caldwell government frame house,,1828,exact,,,,fate_unknown,Near State Street and Chicago Avenue,State Street and Chicago Avenue vicinity,,,house,residence,United States government,Billy Caldwell,frame,,not_present_or_unresolved,Andreas says the government erected this house for Billy Caldwell in 1828 and discusses it as a possible first frame building; the priority claim is not adopted as certain.,medium,true
CHI-PRE1830-033,PRE1830-033,Wolf Tavern,1829,1829,exact,,,,fate_unknown,Wolf Point,Wolf Point vicinity,,,tavern,lodging_food_and_drink,Archibald Caldwell; James Kinzie,Archibald Caldwell; James Kinzie,log_or_frame,1,not_present,"Built in 1829 by Archibald Caldwell and James Kinzie, sold to James Kinzie, and opened by Elijah Wentworth as the Wolf Tavern in 1830. It is not Billy Caldwell's tavern and is not the Sauganash Hotel.",high,true
CHI-B1830-004,B1830_004,Madore Beaubien log store and tailor shop,,1831,exact,,unknown,,unknown,Lot 1 at southwest corner of South Water and Dearborn Streets,Near present Wacker Drive and Dearborn Street,,,mixed-use commercial,store and tailor shop,,Madore Beaubien,log; two rooms,1,unknown,Verified: first building on Lot 1; one room was a store and the other Anson H. Taylor's tailor shop.,high,false
CHI-B1830-006,B1830_006,Mansion House,,1831,exact,,unknown,,relocated/altered,84-86 Lake Street near Dearborn Street,Northwest corner of Lake Street and Michigan Avenue after 1850 move,,,hotel/tavern,lodging and tavern,,Dexter Graves,log core with frame front addition added 1833,2,unknown,Verified: built in 1831; a frame front was added in 1833. The greater portion moved in 1850 and was known as the Dearborn House. Final fate is not established in the cited passage.,high,true
CHI-B1830-003,B1830_003,P. F. W. Peck log store,,1831,exact,,unknown,,unknown,Near Fort Dearborn,Fort Dearborn vicinity,,,store,retail and trading,,P. F. W. Peck,log,1,unknown,Verified: Andreas explicitly identifies a small log store built by Peck in 1831. Exact lot and later fate are not given.,high,true
CHI-B1830-005,B1830_005,Sauganash Hotel,,1831,exact,1851,exact,Fire on March 4,destroyed,Southeast corner of Lake and Market Streets,Near Lake Street at today's Wacker Drive,,,hotel/tavern,"lodging, dining, and public assembly",,Mark Beaubien,frame addition incorporating an earlier log cabin,2,not exposed,Verified: the frame hotel was erected in 1831 around/adjacent to an earlier cabin and burned in 1851. Andreas reports a contemporary claim that it was Chicago's first frame building but also notes an earlier frame house for Billy Caldwell; the priority claim is therefore not adopted as fact.,high,false
CHI-B1830-002,B1830_002,Chicago Lighthouse,1831,1832,exact,1852,exact,Replaced by a new lighthouse,demolished/replaced,North end of Fort Dearborn reservation on south bank near river mouth,Near present Michigan Avenue and Wacker Drive,,,lighthouse,navigation aid,Samuel Jackson,United States government,masonry tower,,not exposed,Verified: the replacement tower was 40 feet high and completed in 1832; the Encyclopedia independently identifies Chicago's first operating lighthouse in 1832. Andreas records an earlier failed tower under the same appropriation.,high,false
CHI-B1830-007,B1830_007,South Branch log bridge,,1832,exact,,unknown,,demolished/replaced,"Across South Branch between Randolph and Lake Streets, nearer Randolph",Near present Randolph Street crossing of South Branch,,,bridge,road and team crossing,Anson Taylor; Charles Taylor,Local subscription; Potawatomi contributors,log,,not exposed,"Verified: built in 1832 for $486.20, including $200 contributed by Potawatomi residents; described as the only team bridge before 1834. A chronological-index statement elsewhere suggests 1830, but the detailed narrative's 1832 date is retained and the conflict flagged.",medium,true
CHI-B1830-014,B1830_014,First Cook County jail,,1833,seasonal_exact,,unknown,,demolished/replaced,Northwest corner of the Public Square,"Public Square bounded by Clark, Randolph, LaSalle, and Washington Streets",,,jail,county detention,,Cook County,log with later separate oaken cell addition,1,not exposed,"Verified: erected in fall 1833; a separate oak-cell addition followed. It had been superseded before the fire era, but exact removal date is not established here.",high,true
CHI-B1830-011,B1830_011,First Presbyterian Church,1833,1833,seasonal_approximate,,unknown,,demolished/replaced,"Lot 1, Block 34, southwest corner of Lake and Clark Streets",Southwest corner of Lake and Clark Streets,,,church,Presbyterian worship,Joseph Meeker,First Presbyterian Church,frame; approximately 30 by 40 feet,1,not exposed,"Verified: completed in late fall or early winter 1833 and dedicated January 4, 1834; cost about $600. Later church construction makes exposure of this original building to the 1871 fire unlikely, but a precise demolition date requires follow-up.",high,true
CHI-B1830-010,B1830_010,First St. Mary's Catholic Church,1833,1833,seasonal_exact,,unknown,,relocated/altered,Near southwest corner of Lake and State Streets,"Later moved to Michigan Avenue and Madison Street, then Wabash Avenue and Madison Street",,,church,Roman Catholic worship,Augustine Deodat Taylor,St. Mary's congregation,frame; approximately 25 by 35 feet,1,unknown,Verified: frame raised in August and sufficiently complete for October 1833 dedication; cost about $400. It was later moved and enlarged more than once. Exact final disposition of the original fabric is not established.,high,true
CHI-B1830-013,B1830_013,First Tremont House,,1833,exact,1839,exact,Fire on October 27,destroyed,Northwest corner of Lake and Dearborn Streets,Northwest corner of Lake and Dearborn Streets,,,hotel,lodging,,Alanson Sweet,wood/frame,3,not exposed,"Verified: the first Tremont was built in 1833 and destroyed by fire October 27, 1839.",high,false
CHI-B1830-012,B1830_012,Green Tree Tavern,,1833,exact,,unknown,,relocated; later destroyed,"Lot 7, Block 22, northeast corner of North Canal and West Lake Streets",Moved in 1880 to 33-37 Milwaukee Avenue,,,hotel/tavern,lodging and tavern,,James Kinzie; leased to David Clock,log,2,survived,"Verified: built by James Kinzie in 1833 and moved in 1880; Andreas reported it extant in 1884, proving survival of the 1871 fire. Later destruction/collapse is outside the cited record and should be verified before adding a demolition year.",high,false
CHI-B1830-015,B1830_015,John Bates house,,1833,seasonal_exact,,unknown,,unknown,Canal Street,"Canal Street, exact lot unknown",,,house,residence,,John Bates; sold to Chief Joseph Laframboise,frame; Green Bay lumber,,unknown,"Verified: first house on Canal Street in fall 1833; lumber reportedly cost $700. Sold to Chief Joseph Laframboise, whose family occupied it until 1836 emigration.",high,true
CHI-B1830-008,B1830_008,John Watkins public school building,,1833,exact,,unknown,,unknown,Riverbank just east of Clark Street,Near Clark Street and the Chicago River,,,school,public school,,Colonels Richard J. Hamilton and William B. Ogden/Owen as reported,likely frame,1,unknown,Verified: Andreas says Hamilton and Owen erected the building in 1833 and John Watkins used it as a public school. The OCR/name reading 'Owen' should be checked against the scan because other Chicago school histories associate William B. Ogden with early school trustees.,medium,true
CHI-B1830-016,B1830_016,Miller and Hall tannery shed,,1833,active_by,,unknown,,unknown,Near Miller's tavern at Wolf Point,Wolf Point vicinity,,,industrial building,tannery,John Miller; Benjamin Hall,John Miller; Benjamin Hall,shed/log or frame not stated,1,unknown,Verified: a tannery shed near Miller's tavern is described as the only manufactory in 1833. Construction year is not stated; 1833 is an active-by date rather than asserted completion.,medium,true
CHI-B1830-009,B1830_009,Temple Building,,1833,exact,,unknown,,unknown,Southeast corner of Franklin and South Water Streets,Near Franklin Street and Wacker Drive,,,assembly/education building,religious meetings and school,,John T. Temple,frame,2,unknown,Verified: erected in 1833; lower hall hosted several congregations and the upper story was a schoolroom. Andreas calls it the earliest Chicago structure specially dedicated to religious and educational use.,high,true
CHI-B1830-021,B1830_021,Briggs and Humphrey wagon shop,,1834,seasonal_exact,,unknown,,unknown,Randolph Street,"Randolph Street, exact lot unknown",,,industrial workshop,wagon and carriage manufacture,,Briggs and Humphrey,frame or log not stated,,unknown,Verified: manufacturing history dates the Randolph Street shop to spring 1834. Exact address and fabric are not supplied.,high,true
CHI-B1830-018,B1830_018,Dearborn Street drawbridge,1834,1834,exact,1839,exact,Removed/demolished,demolished,Chicago River at Dearborn Street,Dearborn Street at Chicago River,,,bridge,road crossing,William Norton,Town of Chicago,timber drawbridge,,not exposed,Verified: constructed in March 1834 by William Norton and demolished in 1839.,high,false
CHI-B1830-019,B1830_019,Exchange Coffee House,,1834,exact,,unknown,,unknown,Northwest corner of Wells and Lake Streets,Northwest corner of Wells and Lake Streets,,,hotel/tavern,"lodging, tavern, and coffee house",,Mark Beaubien,frame,2,unknown,Verified: completed in 1834 and first operated in August by John and Harriet Murphy. Later fate is not established in the cited account.,high,true
CHI-B1830-017,B1830_017,First Chicago harbor south pier section,1833,1834,range,,unknown,,demolished/rebuilt,South side of the Chicago River mouth,Chicago River mouth,,,harbor infrastructure,navigation and river-mouth stabilization,U.S. Army engineers,United States government,timber crib/pier construction,,not exposed,"Verified: pier work was underway in 1833; the Encyclopedia states the Army Corps completed the initial channel work in 1834. This row represents an infrastructure segment, not a conventional building.",medium,true
CHI-B1830-020,B1830_020,First Methodist Episcopal Church,1834,1834,exact,,unknown,,relocated/altered,North Water and Clark Streets,Moved in summer 1838 to Clark and Washington Streets,,,church,Methodist worship,Henry Whitehead; John Stewart,Methodist Episcopal congregation,frame; 26 by 38 feet; 12-foot posts,1,unknown,"Verified: building contract dated June 30, 1834 for $580; completed for use that year. Moved across the river on scows in summer 1838 and enlarged. This corrects the inherited asset's unsupported 1836 date.",high,true
CHI-B1830-022,B1830_022,New York House,1834,1834,exact,,unknown,,unknown,Address not established in cited passage,,,,hotel,lodging and stage-house service,,Lathrop Johnson; George Stevens,frame,2,unknown,Verified: built in 1834 and opened in 1835 by Lathrop Johnson and George Stevens. Exact location and fate need additional directory/deed research.,medium,true
CHI-B1830-026,B1830_026,Chicago Furnace,1835,1835,seasonal_exact,,unknown,,unknown,Polk Street on west side of South Branch,Polk Street near South Branch,,,foundry,iron casting,,"Jones, King & Co.; William H. Stow & Co.",industrial frame/masonry not stated,,unknown,Verified: erected in fall 1835 and produced its first castings in December. Later fate and exact parcel are not given.,high,true
CHI-B1830-024,B1830_024,First Cook County Courthouse,1835,1835,seasonal_exact,,unknown,,demolished/replaced,Northeast corner of Public Square at Clark and Randolph Streets,Clark and Randolph Streets,,,courthouse,county offices and court,,Cook County,brick; approximately 30 by 60 feet; wood Doric portico,1 plus basement,not exposed,"Verified: completed in fall 1835, with offices below and a courtroom seating about 200 above. It was superseded before 1871; exact demolition/removal date requires follow-up.",high,true
CHI-B1830-023,B1830_023,John S. Wright schoolhouse,,1835,exact,,unknown,,demolished/replaced,Clark Street just south of Lake Street,Clark Street south of Lake Street,,,school,public/infant school,,John S. Wright,frame,1,not exposed,"Verified: first Chicago building erected specifically for school purposes, financed privately, with Ruth Leavenworth teaching. It is not the later 1845 Dearborn School known as 'Miltimore's Folly.'",high,true
CHI-B1830-027,B1830_027,Western Hotel,,1835,circa,,unknown,,extant in 1884; later fate unknown,Southeast corner of Canal and Randolph Streets,Southeast corner of Canal and Randolph Streets,,,hotel,lodging,,William H. Stow,frame,2,survived,"Verified: built about 1835; partially burned and rebuilt in 1854; Andreas reported it still standing in 1884, proving survival of the 1871 fire.",high,false
CHI-B1830-028,B1830_028,District No. 4 temporary public schoolhouse,1836,1836,seasonal_exact,1845,circa,Sold and removed/reused after becoming dilapidated,demolished/removed,"Lot 2, Block 142, First Ward, attribution in later school records",Later Tribune/McVicker block vicinity; exact modern frontage requires parcel verification,,,school,public school,,School District No. 4 / City of Chicago,small frame building,1,not exposed,Verified: built in fall 1836 using $200 borrowed funds and for several years the city's only owned schoolhouse; sold about 1845 for $40. Lot attribution is reported in the school history but should be checked against the original plat.,high,true
CHI-B1830-025,B1830_025,First fire engine house,1835,1836,range,,unknown,,demolished/replaced,Public Square,"Public Square bounded by Clark, Randolph, LaSalle, and Washington Streets",,,fire station,housing fire engine and equipment,,Town of Chicago,material not stated,1,not exposed,Verified: an engine house costing $200 was completed by 1836 and stood on the Public Square by 1837. Exact completion date within 1835-36 is not clear.,medium,true
CHI-B1830-031,B1830_031,Harmon and Loomis Block,,1836,active_by,,unknown,,unknown,South Water Street,"South Water Street, exact frontage unknown",,,commercial block,stores,,Harmon and Loomis,brick,4,unknown,"Verified: specifically listed among 1836 improvements as a block of four-story brick stores. Exact construction date, lot, and fate need directory/deed research.",medium,true
CHI-B1830-035,B1830_035,Henry B. Clarke House,,1836,circa,,,,extant,Originally near Michigan Avenue and 16th Street; later 4500 block South Wabash,1855 South Indiana Avenue,,,house,residence,Unknown,Henry B. Clarke,Greek Revival; frame,2,survived,"Verified by official landmark record: built circa 1836, moved twice, and now operated as a house museum. It is among the few surviving pre-fire Chicago structures.",high,false
CHI-B1830-029,B1830_029,Lake House,1835,1836,seasonal_exact,1871,exact,Great Chicago Fire,destroyed,"At Kinzie, Rush, and Michigan Streets, facing Michigan Avenue",Near Kinzie Street and Michigan Avenue,,,hotel,lodging,Builder not named; later architectural recollections by J. M. Van Osdel,Gurdon S. Hubbard; David S. Hunter; John H. Kinzie; W. B. Egan; James B. Campbell,brick; approximately 80 by 100 feet,3 plus basement; another recollection says 4,destroyed,Verified: completed/opened in autumn 1836; remodeled in 1854 with an added story and cupola; destroyed in the 1871 fire. Source conflict: hotel chapter says three stories plus basement while architectural recollection calls it four stories.,high,true
CHI-B1830-030,B1830_030,Steele's Block,,1836,active_by,,unknown,,unknown,Lake Street,"Lake Street, exact frontage unknown",,,commercial block,stores,,Steele,brick,4,unknown,Verified: specifically listed among 1836 improvements as a block of four-story brick stores. Construction completion may have occurred in 1836 or immediately before the report; exact address/fate need directory research.,medium,true
CHI-B1830-044,B1830_044,Archibald Clybourn residence,,1837,active_by,,unknown,,unknown,Extreme northwest part of the city,"North Branch/Clybourn vicinity, exact lot unknown",,,house,residence,,Archibald Clybourn,brick,,unknown,"Verified: listed among brick buildings standing in spring 1837. The finding aid identifies a Clybourn house image, but matching it to this structure needs visual/catalog verification.",medium,true
